"","date","state","fips","cases","deaths"
"178","2021-05-13","Nebraska",31,222247,2387
"179","2021-05-13","New York",36,2077961,52332
"180","2021-05-13","Washington",53,421279,5669
"181","2021-05-14","California",6,3766941,62626
"182","2021-05-14","Michigan",26,972945,19665
"183","2021-05-14","Nebraska",31,222335,2378
"184","2021-05-14","New York",36,2080000,52366
"185","2021-05-14","Washington",53,423721,5663
"186","2021-05-15","California",6,3768252,62647
"187","2021-05-15","Michigan",26,974436,19775
"188","2021-05-15","Nebraska",31,222335,2378
"189","2021-05-15","New York",36,2081761,52377
"190","2021-05-15","Washington",53,424499,5663
"191","2021-05-16","California",6,3769052,62681
"192","2021-05-16","Michigan",26,974436,19775
"193","2021-05-16","Nebraska",31,222335,2378
"194","2021-05-16","New York",36,2083649,52417
"195","2021-05-16","Washington",53,424581,5663
"196","2021-05-17","California",6,3770344,62701
"197","2021-05-17","Michigan",26,977002,19799
"198","2021-05-17","Nebraska",31,222512,2364
"199","2021-05-17","New York",36,2085028,52449
"200","2021-05-17","Washington",53,425382,5682
"201","2021-05-18","California",6,3771421,62723
"202","2021-05-18","Michigan",26,978537,19886
"203","2021-05-18","Nebraska",31,222612,2364
"204","2021-05-18","New York",36,2086577,52480
"205","2021-05-18","Washington",53,426058,5700
"206","2021-05-19","California",6,3773011,62760
"207","2021-05-19","Michigan",26,980490,19915
"208","2021-05-19","Nebraska",31,222676,2367
"209","2021-05-19","New York",36,2087900,52505
"210","2021-05-19","Washington",53,426949,5720
"211","2021-05-20","California",6,3774570,62811
"212","2021-05-20","Michigan",26,982065,19998
"213","2021-05-20","Nebraska",31,222780,2368
"214","2021-05-20","New York",36,2089547,52531
"215","2021-05-20","Washington",53,427913,5735
"216","2021-05-21","California",6,3775904,62857
"217","2021-05-21","Michigan",26,983262,20036
"218","2021-05-21","Nebraska",31,222884,2377
"219","2021-05-21","New York",36,2091142,52555
"220","2021-05-21","Washington",53,429514,5747
"221","2021-05-22","California",6,3776679,62903
"222","2021-05-22","Michigan",26,984470,20125
"223","2021-05-22","Nebraska",31,222884,2377
"224","2021-05-22","New York",36,2092455,52572
"225","2021-05-22","Washington",53,429514,5747
"226","2021-05-23","California",6,3777406,62928
"227","2021-05-23","Michigan",26,984470,20125
"228","2021-05-23","Nebraska",31,222884,2377
"229","2021-05-23","New York",36,2093529,52591
"230","2021-05-23","Washington",53,429526,5747
"231","2021-05-24","California",6,3778839,62947
"232","2021-05-24","Michigan",26,985912,20141
"233","2021-05-24","Nebraska",31,223054,2378
"234","2021-05-24","New York",36,2094493,52621
"235","2021-05-24","Washington",53,431446,5754
"236","2021-05-25","California",6,3780128,62979
"237","2021-05-25","Michigan",26,986887,20211
"238","2021-05-25","Nebraska",31,223112,2377
"239","2021-05-25","New York",36,2095438,52638
"240","2021-05-25","Washington",53,432490,5767
"241","2021-05-26","California",6,3781388,63014
"242","2021-05-26","Michigan",26,988008,20224
"243","2021-05-26","Nebraska",31,223206,2377
"244","2021-05-26","New York",36,2096320,52664
"245","2021-05-26","Washington",53,434154,5785
"246","2021-05-27","California",6,3786674,63163
"247","2021-05-27","Michigan",26,988892,20287
"248","2021-05-27","Nebraska",31,223264,2378
"249","2021-05-27","New York",36,2097465,52685
"250","2021-05-27","Washington",53,435680,5798
"251","2021-05-28","California",6,3788120,63215
"252","2021-05-28","Michigan",26,989635,20310
"253","2021-05-28","Nebraska",31,223304,2494
"254","2021-05-28","New York",36,2098395,52710
"255","2021-05-28","Washington",53,436741,5809
"256","2021-05-29","California",6,3788894,63236
"257","2021-05-29","Michigan",26,990177,20361
"258","2021-05-29","Nebraska",31,223304,2495
"259","2021-05-29","New York",36,2099261,52724
"260","2021-05-29","Washington",53,437492,5809
"261","2021-05-30","California",6,3789496,63247
"262","2021-05-30","Michigan",26,990197,20361
"263","2021-05-30","Nebraska",31,223304,2495
"264","2021-05-30","New York",36,2100109,52740
"265","2021-05-30","Washington",53,437492,5809
"266","2021-05-31","California",6,3789883,63249
"267","2021-05-31","Michigan",26,990199,20361
"268","2021-05-31","Nebraska",31,223368,2495
"269","2021-05-31","New York",36,2100633,52758
"270","2021-05-31","Washington",53,437500,5809
"271","2021-06-01","California",6,3791188,63260
"272","2021-06-01","Michigan",26,991174,20374
"273","2021-06-01","Nebraska",31,223404,2497
"274","2021-06-01","New York",36,2101111,52784
"275","2021-06-01","Washington",53,438918,5833
"276","2021-06-02","California",6,3792111,63284
"277","2021-06-02","Michigan",26,991694,20408
"278","2021-06-02","Nebraska",31,223434,2500
"279","2021-06-02","New York",36,2101514,52793
"280","2021-06-02","Washington",53,439675,5845
"281","2021-06-03","California",6,3793194,63340
"282","2021-06-03","Michigan",26,992221,20472
"283","2021-06-03","Nebraska",31,223517,2504
"284","2021-06-03","New York",36,2102003,52811
"285","2021-06-03","Washington",53,440538,5866
"286","2021-06-04","California",6,3794373,62965
"287","2021-06-04","Michigan",26,992781,20496
"288","2021-06-04","Nebraska",31,223558,2512
"289","2021-06-04","New York",36,2102760,52840
"290","2021-06-04","Washington",53,441271,5881
"291","2021-06-05","California",6,3795202,63000
"292","2021-06-05","Michigan",26,993178,20573
"293","2021-06-05","Nebraska",31,223558,2512
"294","2021-06-05","New York",36,2103612,52852
"295","2021-06-05","Washington",53,441926,5881
"296","2021-06-06","California",6,3795959,63120
"297","2021-06-06","Michigan",26,993191,20573
"298","2021-06-06","Nebraska",31,223558,2512
"299","2021-06-06","New York",36,2104103,52885
"300","2021-06-06","Washington",53,442006,5881
"301","2021-06-07","California",6,3797141,63132
"302","2021-06-07","Michigan",26,993640,20586
"303","2021-06-07","Nebraska",31,223648,2513
"304","2021-06-07","New York",36,2104622,52895
"305","2021-06-07","Washington",53,442762,5894
"306","2021-06-08","California",6,3798225,63155
"307","2021-06-08","Michigan",26,994006,20643
"308","2021-06-08","Nebraska",31,223685,2515
"309","2021-06-08","New York",36,2105081,52906
"310","2021-06-08","Washington",53,443564,5821
"311","2021-06-09","California",6,3799174,63167
"312","2021-06-09","Michigan",26,994301,20652
"313","2021-06-09","Nebraska",31,223714,2516
"314","2021-06-09","New York",36,2105507,52914
"315","2021-06-09","Washington",53,444159,5836
"316","2021-06-10","California",6,3800222,63206
"317","2021-06-10","Michigan",26,994668,20698
"318","2021-06-10","Nebraska",31,223749,2516
"319","2021-06-10","New York",36,2106056,52927
"320","2021-06-10","Washington",53,444922,5846
"321","2021-06-11","California",6,3801205,63251
"322","2021-06-11","Michigan",26,995002,20706
"323","2021-06-11","Nebraska",31,223792,2517
"324","2021-06-11","New York",36,2106742,52942
"325","2021-06-11","Washington",53,445488,5857
"326","2021-06-12","California",6,3801812,63143
"327","2021-06-12","Michigan",26,995217,20764
"328","2021-06-12","Nebraska",31,223792,2517
"329","2021-06-12","New York",36,2107172,52958
"330","2021-06-12","Washington",53,446034,5857
"331","2021-06-13","California",6,3802390,63145
"332","2021-06-13","Michigan",26,995223,20764
"333","2021-06-13","Nebraska",31,223792,2517
"334","2021-06-13","New York",36,2107535,52968
"335","2021-06-13","Washington",53,446091,5858
"336","2021-06-14","California",6,3803495,63150
"337","2021-06-14","Michigan",26,995837,20773
"338","2021-06-14","Nebraska",31,223847,2517
"339","2021-06-14","New York",36,2107912,52977
"340","2021-06-14","Washington",53,446778,5825
"341","2021-06-15","California",6,3804529,63205
"342","2021-06-15","Michigan",26,996055,20803
"343","2021-06-15","Nebraska",31,223888,2517
"344","2021-06-15","New York",36,2108249,52993
"345","2021-06-15","Washington",53,447266,5842
"346","2021-06-16","California",6,3805390,63224
"347","2021-06-16","Michigan",26,996275,20808
"348","2021-06-16","Nebraska",31,223931,2517
"349","2021-06-16","New York",36,2108535,52995
"350","2021-06-16","Washington",53,447781,5850
"351","2021-06-17","California",6,3806400,63254
"352","2021-06-17","Michigan",26,996454,20835
"353","2021-06-17","Nebraska",31,223960,2517
"354","2021-06-17","New York",36,2108978,53009
"355","2021-06-17","Washington",53,448263,5852
"356","2021-06-18","California",6,3807542,63290
"357","2021-06-18","Michigan",26,996624,20848
"358","2021-06-18","Nebraska",31,223986,2518
"359","2021-06-18","New York",36,2109393,53017
"360","2021-06-18","Washington",53,448716,5863
"361","2021-06-19","California",6,3808088,63309
"362","2021-06-19","Michigan",26,996624,20848
"363","2021-06-19","Nebraska",31,223986,2519
"364","2021-06-19","New York",36,2109782,53024
"365","2021-06-19","Washington",53,449108,5867
"366","2021-06-20","California",6,3808733,63337
"367","2021-06-20","Michigan",26,996624,20848
"368","2021-06-20","Nebraska",31,223986,2519
"369","2021-06-20","New York",36,2110069,53026
"370","2021-06-20","Washington",53,449170,5867
"371","2021-06-21","California",6,3810024,63353
"372","2021-06-21","Michigan",26,996972,20884
"373","2021-06-21","Nebraska",31,224065,2519
"374","2021-06-21","New York",36,2110346,53034
"375","2021-06-21","Washington",53,449829,5881
"376","2021-06-22","California",6,3811099,63370
"377","2021-06-22","Michigan",26,997133,20897
"378","2021-06-22","Nebraska",31,224103,2519
"379","2021-06-22","New York",36,2110612,53048
"380","2021-06-22","Washington",53,450253,5887
"381","2021-06-23","California",6,3811979,63425
"382","2021-06-23","Michigan",26,997361,20900
"383","2021-06-23","Nebraska",31,224156,2519
"384","2021-06-23","New York",36,2110862,53056
"385","2021-06-23","Washington",53,450995,5930
"386","2021-06-24","California",6,3812993,63490
"387","2021-06-24","Michigan",26,997561,20931
"388","2021-06-24","Nebraska",31,224206,2519
"389","2021-06-24","New York",36,2111245,53052
"390","2021-06-24","Washington",53,451560,5939
"391","2021-06-25","California",6,3814393,63543
"392","2021-06-25","Michigan",26,997692,20945
"393","2021-06-25","Nebraska",31,224226,2519
"394","2021-06-25","New York",36,2111588,53060
"395","2021-06-25","Washington",53,451980,5949
"396","2021-06-26","California",6,3815178,63555
"397","2021-06-26","Michigan",26,997692,20945
"398","2021-06-26","Nebraska",31,224226,2519
"399","2021-06-26","New York",36,2111933,53066
"400","2021-06-26","Washington",53,452327,5948
"401","2021-06-27","California",6,3816045,63586
"402","2021-06-27","Michigan",26,997692,20945
"403","2021-06-27","Nebraska",31,224226,2519
"404","2021-06-27","New York",36,2112307,53081
"405","2021-06-27","Washington",53,452390,5948
"406","2021-06-28","California",6,3817655,63597
"407","2021-06-28","Michigan",26,998068,20951
"408","2021-06-28","Nebraska",31,224330,2519
"409","2021-06-28","New York",36,2112628,53089
"410","2021-06-28","Washington",53,452960,5956
"411","2021-06-29","California",6,3818311,63610
"412","2021-06-29","Michigan",26,998305,20982
"413","2021-06-29","Nebraska",31,224404,2520
"414","2021-06-29","New York",36,2112872,53093
"415","2021-06-29","Washington",53,453307,5963
"416","2021-06-30","California",6,3816704,63662
"417","2021-06-30","Michigan",26,998606,20984
"418","2021-06-30","Nebraska",31,224488,2520
"419","2021-06-30","New York",36,2113147,53095
"420","2021-06-30","Washington",53,453630,5984
"421","2021-07-01","California",6,3818156,63709
"422","2021-07-01","Michigan",26,998847,20998
"423","2021-07-01","Nebraska",31,224549,2520
"424","2021-07-01","New York",36,2113544,53107
"425","2021-07-01","Washington",53,454087,5992
"426","2021-07-02","California",6,3820182,63257
"427","2021-07-02","Michigan",26,998973,20995
"428","2021-07-02","Nebraska",31,224682,2520
"429","2021-07-02","New York",36,2114018,53109
"430","2021-07-02","Washington",53,454484,5994
"431","2021-07-03","California",6,3820882,63256
"432","2021-07-03","Michigan",26,998973,20995
"433","2021-07-03","Nebraska",31,224682,2520
"434","2021-07-03","New York",36,2114297,53109
"435","2021-07-03","Washington",53,454484,5994
"436","2021-07-04","California",6,3821453,63256
"437","2021-07-04","Michigan",26,998973,20995
"438","2021-07-04","Nebraska",31,224682,2520
"439","2021-07-04","New York",36,2114609,53118
"440","2021-07-04","Washington",53,454484,5994
"441","2021-07-05","California",6,3822073,63256
"442","2021-07-05","Michigan",26,998975,20995
"443","2021-07-05","Nebraska",31,224846,2520
"444","2021-07-05","New York",36,2114985,53122
"445","2021-07-05","Washington",53,454484,5994
"446","2021-07-06","California",6,3824416,63715
"447","2021-07-06","Michigan",26,999498,21017
"448","2021-07-06","Nebraska",31,224873,2521
"449","2021-07-06","New York",36,2115292,53127
"450","2021-07-06","Washington",53,455630,6011
